time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-24 23:19:23,-178.395458,0.000320,90.0,1.0,200.0,1.00,0.00,39.77,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:19:31,-104.600658,-1.285462,6.9,243.1,-26.2,-178.33,0.00,89.98,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:19:40,1.000000,200.000000,1.0,0.0,39.8,-104.60,-1.29,6.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:19:48,243.122583,-26.207981,-178.3,-0.0,270.0,1.00,200.00,1.00,FuelLeak,0.66,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:19:56,0.000000,39.774439,-104.6,-1.3,6.9,243.16,-26.20,-178.24,FuelLeak,0.67,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:20:09,-0.000411,89.982200,1.0,200.0,1.0,0.00,39.77,-104.60,FuelLeak,0.72,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:20:19,-1.285994,6.900757,243.2,-26.2,-178.2,0.00,90.00,1.00,FuelLeak,0.76,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:20:27,200.000000,1.000000,0.0,39.8,-104.6,-1.29,6.90,243.24,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:20:35,-26.194555,-178.166740,0.0,0.0,1.0,200.00,1.00,0.00,FuelLeak,0.72,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:20:43,39.774439,-104.600658,-1.3,6.9,243.3,-26.19,-178.15,-0.00,EngineFailure,0.48,,,,,,
